Company,Inches,Cpu,Ram(in GB),Memory(in GB),Gpu,OpSys,Weight,Price_euros
Apple,13.3,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,1.37,1339.69
Apple,13.3,Intel Core i5 1.8GHz,8,128,Intel HD Graphics 6000,macOS,1.34,898.94
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,1.86,575
Apple,15.4,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,1.83,2537.45
Apple,13.3,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,1.37,1803.6
Acer,15.6,AMD A9-Series 9420 3GHz,4,500,AMD Radeon R5,Windows 10,2.1,400
Apple,15.4,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97
Apple,13.3,Intel Core i5 1.8GHz,8,256,Intel HD Graphics 6000,macOS,1.34,1158.7
Asus,14,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows 10,1.3,1495
Acer,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,770
HP,15.6,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,No OS,1.86,393.9
HP,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,1.86,344.99
Apple,15.4,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,1.83,2439.97
Dell,15.6,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows 10,2.2,498.9
Apple,12,Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,0.92,1262.4
Apple,13.3,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,1.37,1518.55
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows 10,2.2,745
Apple,15.4,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,1.83,2858
Lenovo,15.6,Intel Core i3 7100U 2.4GHz,8,1024,Nvidia GeForce 940MX,No OS,2.2,499
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows 10,1.22,979
Asus,11.6,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows 10,0.98,191.9
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.5,999
HP,15.6,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,No OS,1.86,258
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.62,819
HP,15.6,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows 10,1.91,659
Dell,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,2.3,418.64
Apple,13.3,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS X,1.35,1099
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,2.2,800
